Cluster,Medoid Date,Count,Proportion,Max Distance,Avg Distance,Standard Deviation
Offshore Wind - Winter 0,2024-12-09,344,0.47,2.060919411254899,0.8945479316700335,0.36282148511984336
Offshore Wind - Winter 1,2023-12-16,385,0.53,2.022669894233519,0.8852767121708262,0.3469873311214333
Offshore Wind - Summer 0,2022-06-22,413,0.56,1.9423354562457653,0.6521015071221746,0.3201692865246641
Offshore Wind - Summer 1,2024-05-21,319,0.44,1.705705261259989,0.9944132691595537,0.29915535855987185
Onshore Wind - Winter 0,2021-01-13,346,0.47,1.9811286524689973,0.8670727954294993,0.33918576284487845
Onshore Wind - Winter 1,2022-12-24,383,0.53,1.1718458765827378,0.48763298128605537,0.24134356404514168
Onshore Wind - Summer 0,2021-06-01,283,0.39,2.012747857485317,0.7192316885572092,0.3056279326293624
Onshore Wind - Summer 1,2023-08-20,449,0.61,1.2052012090924025,0.35185390299472885,0.20091404623362405
Solar - Winter 0,2022-03-30,233,0.32,1.0576031131915826,0.4415014961992419,0.17789033371632695
Solar - Winter 1,2023-01-24,496,0.68,0.61867860140939,0.18221691470934348,0.1350639886281166
Solar - Summer 0,2022-08-15,402,0.55,0.8636636979799893,0.33897926201216183,0.14494758905976174
Solar - Summer 1,2022-07-22,330,0.45,0.6602431915910133,0.3854535078597245,0.15095514456520961
