Cluster,Medoid Date,Count,Proportion,Max Distance,Avg Distance,Standard Deviation
Offshore Wind - Winter 0,2023-11-20,243,0.51,1.7562607802858943,0.9168578841546143,0.3030911240446842
Offshore Wind - Winter 1,2023-12-16,238,0.49,1.9877543495463281,0.8335284859739168,0.3215705940858126
Offshore Wind - Summer 0,2024-05-21,198,0.4,1.6777608727979567,0.9823865748147853,0.30081967313564717
Offshore Wind - Summer 1,2022-06-22,294,0.6,1.9423354562457653,0.6517368993466325,0.3163243829893054
Onshore Wind - Winter 0,2022-12-24,260,0.54,1.588396656824697,0.494383383988439,0.26274173209415896
Onshore Wind - Winter 1,2024-01-14,221,0.46,1.8261341949466936,0.8729962886384143,0.31141126536761565
Onshore Wind - Summer 0,2023-08-20,307,0.62,1.2052012090924025,0.3469773795118277,0.1943471423418383
Onshore Wind - Summer 1,2021-06-01,185,0.38,1.6944627417899636,0.695051463062348,0.2883106218967563
Solar - Winter 0,2021-01-29,372,0.77,0.6986263075799204,0.17120496118834588,0.1600002668489283
Solar - Winter 1,2021-01-05,109,0.23,0.8575262386662902,0.42570552599940437,0.17361152853773684
Solar - Summer 0,2021-05-13,222,0.45,0.7716526077311159,0.3993640724773018,0.18117629875963662
Solar - Summer 1,2024-05-08,270,0.55,0.6817783119128377,0.3134889592912721,0.1299284358276437
