RES,Season,Cluster,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Offshore Wind,Winter,0,2024-11-06,0.2857658737478737,0.34112440143640144,0.3381256151956152,0.36468534303534306,0.40342177962577963,0.42000530107730105,0.41078125987525993,0.43984246078246075,0.5100235736155736,0.49781477981477984,0.42763737100737104,0.5263216393876393,0.5563309106029106,0.5810562585522586,0.5744401096201096,0.5680475309015309,0.5994286316386316,0.6576844622944623,0.661770711018711,0.6823528731808732,0.7293725212625213,0.7217312371952371,0.7153921496881497,0.6746303277263277
Offshore Wind,Winter,1,2021-02-24,0.8129759502827139,0.805281270311406,0.8008671730346696,0.790532093265574,0.8025031141552165,0.8179229468839795,0.8226439032586107,0.8122185237467207,0.8222066088434601,0.8208103931199973,0.8185893884080071,0.8148860355537199,0.8010288452871486,0.7625849943358731,0.7291655285672722,0.7701395352826607,0.768687469628741,0.7978046972203268,0.7841465244040703,0.7834262226951794,0.7600552073353141,0.7743862696148003,0.7819193414235518,0.8092622523289377
Offshore Wind,Winter,2,2021-01-03,0.2031271071397122,0.18983195678201356,0.20417460712750923,0.19489796278077864,0.2045678023698998,0.22323273924472578,0.230343291352012,0.2358343360224332,0.24706263272294232,0.2355955461836493,0.20444368727348922,0.1937141030555207,0.16283128980858236,0.15892877634053149,0.16619736619061784,0.18323506170509016,0.19752043712115058,0.18261825043548172,0.18656829885172066,0.18318012041961648,0.18706335569590687,0.17830226819312361,0.17020218394452258,0.1763806270225929
Offshore Wind,Summer,0,2024-05-21,0.5895880132300132,0.5825779648459648,0.594364123984124,0.6545767544887545,0.6330859259119259,0.5499554919674919,0.5434656786996787,0.5112195418635419,0.5037374371574372,0.49556305424305425,0.5117910058590058,0.5556049189189189,0.5655961009261009,0.5643857459837459,0.6057662623322623,0.6114291804951805,0.6054125314685315,0.6202800325080325,0.6589277388017388,0.6888754976374977,0.6822286671706672,0.7048203110943111,0.7196342271782271,0.7223273982233982
Offshore Wind,Summer,1,2021-08-30,0.4197792260497141,0.378148148690949,0.4001574065752267,0.3358014879702458,0.3465351880870337,0.3170147704211421,0.3059136331948675,0.23238147717193727,0.18987650885241303,0.20405113931122004,0.24927933021804335,0.23298471971157847,0.2461833725511002,0.2749887993255601,0.2728516888129547,0.27387060059252666,0.29258209173638877,0.3061647686909418,0.32363552596997075,0.3245011730896508,0.3042461366654033,0.23324161683152259,0.18602147068614613,0.22089848966824321
Offshore Wind,Summer,2,2023-08-21,0.18096796318006164,0.13427706786505145,0.10081438235421823,0.1269818127740871,0.11999253397594548,0.10795575702314272,0.07866215969779862,0.07791494637662282,0.0873966840345621,0.09469582519213235,0.10399527462984673,0.11218254873865662,0.10122061178411706,0.1062506981893969,0.10113120750293084,0.11448972775823889,0.11621892232208762,0.11439874603794885,0.11891186878554992,0.11188808518952717,0.12781678389996093,0.14172260257913247,0.16705949372584777,0.1766324488732578
Onshore Wind,Winter,0,2022-11-30,0.0817050211531232,0.0823432268176066,0.07995128205399739,0.08318440567401422,0.08680612365708114,0.09366058487459032,0.09253528256230774,0.0938338733777752,0.08424145313219776,0.07406338735895712,0.06345968940119982,0.062442292903246314,0.06379576090352164,0.06178782363749001,0.0692584647968612,0.08555384902123785,0.09854124165391479,0.09974052070040931,0.10174308343173023,0.10728313923997015,0.112739219637723,0.10536216646104808,0.0966656989002494,0.08941607192591378
Onshore Wind,Winter,1,2023-12-02,0.20939931788687036,0.22299738460606083,0.23334297897862755,0.24800515179315918,0.24675885002079356,0.25023507407322265,0.25367822796872813,0.2554874810088754,0.26385224184086953,0.2855758564553105,0.3074340778620434,0.32183918367944025,0.3475437196063639,0.33915869433014356,0.32618758006574533,0.29051379377362785,0.2740702996574806,0.2697153686524713,0.26420978573204906,0.27009955675185415,0.28165696752230346,0.3072360851220343,0.3157843126519029,0.30942761137105995
Onshore Wind,Winter,2,2024-11-17,0.5284234722874603,0.5286864306340981,0.5408113019557466,0.5450667695271582,0.5313431108333097,0.5089281232008147,0.5101262792323312,0.5236470646130732,0.5184064760603815,0.5540448398594061,0.5879571283800028,0.5905391650670483,0.5929945619141668,0.5850469677524346,0.5474973635577978,0.5647241732017804,0.5441446885069531,0.5182965096472292,0.5369328710980923,0.5301420491881089,0.5071520862022698,0.47018705856390647,0.4172060499475424,0.37294410787735477
Onshore Wind,Summer,0,2021-06-24,0.08417551595672396,0.07176172109431853,0.06705937737694706,0.0520589174242485,0.049737733706484,0.04888429003664709,0.04963629796309161,0.04006509970322737,0.0345585768535067,0.03654225108939693,0.047651156358999885,0.05488839953227935,0.07174361941912215,0.08387434494322184,0.08699707941138503,0.0782956166554064,0.06848561357674214,0.06637601982794425,0.06432007183343502,0.06623786223795147,0.07726302677993249,0.0741457203121434,0.06902679002258753,0.06363386614538154
Onshore Wind,Summer,1,2022-08-11,0.26920859573972394,0.28925122073906206,0.31006983802902666,0.2939138687182637,0.3480566128528389,0.34261751044418914,0.3429310208036599,0.3406184806815595,0.322353553777646,0.36346689131159954,0.38373940771255055,0.41850132594871364,0.46420209593298783,0.4761226965863784,0.4771321005395503,0.4874068840046384,0.4812699746374318,0.48803298510544796,0.42146926660348094,0.40226591980345333,0.3641936073620282,0.37303921974362103,0.3624014887139219,0.3498098262743499
Onshore Wind,Summer,2,2023-07-13,0.18583748760488972,0.20163808756989177,0.20070012061796397,0.18691994675310608,0.1784770305065538,0.18302447357237495,0.22976610593548713,0.26256790478888736,0.280883661994717,0.2899149924587733,0.28658093923687783,0.2930902814002517,0.2888280933612206,0.31646401397418483,0.30062958494087844,0.3075845961068938,0.3094734802969827,0.27642576724691065,0.20618470547551396,0.17023283204313083,0.1665976038897731,0.1729035125034373,0.17011711816810685,0.14947185205862992
Solar,Winter,0,2024-02-24,6.721810556839262e-05,6.133619768550921e-05,6.429854038288868e-05,5.781802876474722e-05,7.167006254443724e-05,9.464974792056544e-05,0.004973318314974445,0.06396381732827174,0.15670132744585688,0.23898597326511326,0.2836512854456574,0.29324735839576943,0.2647646081291164,0.21108869600758945,0.1456109178049134,0.051876074763878545,0.005888614946455895,0.00032171531383479553,0.00020843398947544873,0.00016164327155161162,0.0001345273947805199,0.00011716676073404003,0.00013739320664518027,9.980640811855935e-05
Solar,Winter,1,2021-02-08,7.848616930224397e-05,7.500775912545558e-05,7.083968314689939e-05,0.0023836405525583916,0.03284716802674889,0.1058637020387298,0.2300769113908126,0.3798958000521436,0.5074839873192382,0.5810434233156226,0.6279040303594761,0.6230470068587477,0.5821292874467655,0.5169191855622385,0.43289001006635475,0.3218171301632086,0.2068630583802402,0.09738227784997124,0.026089910543470866,0.002516068859177201,0.00020286739665106493,0.00015079102543438835,0.00011906273011795422,7.882146427182683e-05
Solar,Winter,2,2022-12-01,2.185720196986451e-05,2.0629304291687505e-05,2.0007875872833453e-05,2.2075356379692912e-05,2.6601125436161564e-05,6.11380850035666e-05,7.93527316276106e-05,0.0008302956838068987,0.0182144527782684,0.05445552863453957,0.0723005200907091,0.07617756961165417,0.06261224597562924,0.04233877832819936,0.00886411293327733,0.00018939106254168422,0.00010604298872264491,0.00010901362848619395,0.00013970234426422597,0.0001421020427723384,0.00010550071918964287,0.00010681587863175124,0.00010899991592329045,0.00010156147384645572
