Date,Season,RES,Cluster,RES,Cluster,RES,Cluster
2021-01-01,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-02,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-01-03,Winter,Offshore Wind,2,Onshore Wind,1,Solar,0
2021-01-04,Winter,Offshore Wind,2,Onshore Wind,1,Solar,1
2021-01-05,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-01-06,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-01-07,Winter,Offshore Wind,2,Onshore Wind,1,Solar,1
2021-01-08,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-01-09,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-01-10,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-01-11,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-12,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-13,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-14,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-15,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-16,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-17,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-18,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-19,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-20,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-21,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-22,Winter,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-01-23,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-24,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-25,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-26,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-01-27,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-28,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-29,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-01-30,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-01-31,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-01,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-02-02,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-03,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-04,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-02-05,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-02-06,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-02-07,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-08,Winter,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-02-09,Winter,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-02-10,Winter,Offshore Wind,0,Onshore Wind,0,Solar,0
2021-02-11,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-12,Winter,Offshore Wind,1,Onshore Wind,1,Solar,2
2021-02-13,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-14,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-15,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-02-16,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-02-17,Winter,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-02-18,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-02-19,Winter,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-02-20,Winter,Offshore Wind,1,Onshore Wind,1,Solar,0
2021-02-21,Winter,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-02-22,Winter,Offshore Wind,0,Onshore Wind,0,Solar,0
2021-02-23,Winter,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-02-24,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-02-25,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-02-26,Winter,Offshore Wind,1,Onshore Wind,2,Solar,0
2021-02-27,Winter,Offshore Wind,2,Onshore Wind,1,Solar,0
2021-02-28,Winter,Offshore Wind,2,Onshore Wind,1,Solar,0
2021-05-01,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-05-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-05-03,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-05-05,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-05-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-05-07,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-08,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-09,Summer,Offshore Wind,1,Onshore Wind,0,Solar,1
2021-05-10,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-05-11,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-05-12,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-05-13,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-14,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-15,Summer,Offshore Wind,1,Onshore Wind,0,Solar,0
2021-05-16,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-17,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-18,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-19,Summer,Offshore Wind,2,Onshore Wind,2,Solar,2
2021-05-20,Summer,Offshore Wind,1,Onshore Wind,2,Solar,1
2021-05-21,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-05-22,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-05-23,Summer,Offshore Wind,0,Onshore Wind,1,Solar,2
2021-05-24,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-05-25,Summer,Offshore Wind,2,Onshore Wind,0,Solar,0
2021-05-26,Summer,Offshore Wind,0,Onshore Wind,2,Solar,0
2021-05-27,Summer,Offshore Wind,1,Onshore Wind,2,Solar,2
2021-05-28,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-05-29,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-05-30,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-05-31,Summer,Offshore Wind,2,Onshore Wind,0,Solar,1
2021-06-01,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-02,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-03,Summer,Offshore Wind,0,Onshore Wind,1,Solar,0
2021-06-04,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-06-05,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-06-06,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
2021-06-07,Summer,Offshore Wind,0,Onshore Wind,2,Solar,2
2021-06-08,Summer,Offshore Wind,0,Onshore Wind,1,Solar,1
2021-06-09,Summer,Offshore Wind,2,Onshore Wind,0,Solar,2
