RES,Season,Cluster,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Offshore Wind,Winter,0,2023-11-20,0.32356120098997004,0.324413149667839,0.32139441361643006,0.294354835222092,0.29108891276974513,0.26856927923233903,0.27416043680257046,0.27589373540011286,0.2821181264382789,0.265447790369502,0.23841545829534108,0.24823146064000695,0.2457318062611263,0.24236991272632538,0.25358976727020105,0.2661542499240155,0.2576336125222526,0.28378244192609964,0.3125516208588424,0.3365500343015935,0.352173163127958,0.36637299639616167,0.3625322543528288,0.43145311145846904
Offshore Wind,Winter,1,2023-12-16,0.6585935927319817,0.6733607964064586,0.6879221192990975,0.6854503848488528,0.7040363279511149,0.7280237598640282,0.7155459665735907,0.7216495969406338,0.7256763603253612,0.7297628950669742,0.7332313589089879,0.7395069276840274,0.7380037626967747,0.7357554145926916,0.743079454089272,0.75042737363927,0.7577111735664279,0.759963594350694,0.7609211039617985,0.7615232706082312,0.7622587204079155,0.7073886204524301,0.6652322487960827,0.6193938136862126
Offshore Wind,Summer,0,2024-05-21,0.5895880132300132,0.5825779648459648,0.594364123984124,0.6545767544887545,0.6330859259119259,0.5499554919674919,0.5434656786996787,0.5112195418635419,0.5037374371574372,0.49556305424305425,0.5117910058590058,0.5556049189189189,0.5655961009261009,0.5643857459837459,0.6057662623322623,0.6114291804951805,0.6054125314685315,0.6202800325080325,0.6589277388017388,0.6888754976374977,0.6822286671706672,0.7048203110943111,0.7196342271782271,0.7223273982233982
Offshore Wind,Summer,1,2022-06-22,0.21337393623915776,0.19633701687282082,0.17918782661266086,0.1526158289662073,0.16159607270607793,0.14243509817303415,0.16009742847720976,0.1702095614476256,0.13304208260699912,0.10100219755345352,0.10496090336775776,0.12767133489713695,0.1571076652829476,0.13849031177582066,0.1318531274095272,0.11990505134236672,0.11813287976834241,0.1227933061010568,0.13588198025073428,0.16352889570909968,0.19547073895325898,0.17015263686943113,0.11776656281486464,0.11191861078548007
Onshore Wind,Winter,0,2022-12-24,0.07342502884240172,0.08459508300673556,0.07831542623131606,0.07455793971938039,0.07709533389321525,0.0790326901053596,0.075134484272408,0.09109170208343938,0.0989377903327056,0.09064635101202899,0.07739508512750039,0.07421202219168321,0.07780544251878997,0.0853460632242412,0.0955300317266419,0.11337232486724014,0.12941056989192584,0.14218052013878285,0.1365832035425256,0.1328888445649039,0.13335003096316655,0.1228220640131657,0.12762509310157616,0.13982999927893996
Onshore Wind,Winter,1,2024-01-14,0.45936960904238533,0.4282119531926424,0.4122288693415057,0.40271830481934656,0.38473303693588967,0.37683605677817533,0.396811002890729,0.4144031495387309,0.4352187635577774,0.4590109761891323,0.492107065071708,0.5325360810012307,0.5342826578544455,0.5243342694166117,0.5129197304596694,0.5036637383776718,0.49990153463365805,0.4989087094901682,0.469321119192637,0.4434681312693818,0.42418212280193474,0.40330377960893615,0.45495887120978434,0.5332078919255996
Onshore Wind,Summer,0,2023-08-20,0.12405480235285296,0.09552826006357036,0.07883807576786407,0.05895849409912144,0.05251256660098564,0.04809957529504393,0.04302033938904141,0.048252743189932064,0.0590229234447967,0.06155194272835963,0.07309370211915069,0.08018826864515162,0.0905034351319939,0.10180873217551417,0.10360678028235903,0.09547098050814626,0.0928992370307729,0.07758887602114568,0.07840520976967204,0.08500019329386918,0.08542480368591414,0.08218381143016636,0.08626600652366809,0.08397151956475553
Onshore Wind,Summer,1,2021-06-01,0.2932222685773327,0.2881064272195825,0.2852777850495436,0.2994868302176727,0.33403412144868905,0.3732910941156054,0.39255936843763106,0.41186522711784085,0.4085231070798419,0.41103639037642725,0.41734613580605223,0.4092367796795954,0.39704545995700247,0.39077394517340547,0.39280435287544846,0.38987828596823265,0.3735193286003961,0.3495520831594349,0.3290050669737278,0.30637504330688886,0.2806801076906344,0.26994818947981203,0.2666520625053375,0.25934642471891417
Solar,Winter,0,2021-01-29,0.00013013494565579855,0.0001207987143213479,9.84336524643978e-05,0.00010087244366233923,0.00010839454350752365,0.00011994812978390636,0.00014513051914130047,0.0036391919051002187,0.02833785675362361,0.059870078874988436,0.09322017520720335,0.09915256920858705,0.08550731101984867,0.06047974301017812,0.026721970561122535,0.0037426520109569384,0.00014943655660613203,0.00014724912548257963,0.0001456309950037001,0.0001470725749541397,0.00013939038268062417,0.00013352381808729387,0.00011729014661633398,0.00011335740878578852
Solar,Winter,1,2021-01-05,0.0001330536094995576,0.0001359024109712533,0.0001626918028309641,0.0010031104412015592,0.024876128945828732,0.09342055718530422,0.20216202419593893,0.32074736371142065,0.4368014272872845,0.5255961037514401,0.5730021297548026,0.5938962855669977,0.5638761796454652,0.4987067810578757,0.388899521091974,0.2773825265368189,0.15893040864277072,0.0581454502257244,0.010332363872401228,0.000254497372315556,0.0002179285016703125,0.00018651101014769878,0.00015732800333359364,0.00014618592555887098
Solar,Summer,0,2021-05-13,0.00018797056756577726,0.00020000969584288889,0.00021968707592252062,0.0025238797138172056,0.019635932941774244,0.05313469857215761,0.10108101172789913,0.15484482691625198,0.21004452908364293,0.27656837697141096,0.31794223202004007,0.33312992540492176,0.31128836213899175,0.2843102418076604,0.22500276479550468,0.16645023793672464,0.09703244443671408,0.05477041021186897,0.014040468671880465,0.00044201867448946024,0.00023220137451525412,0.00017312704625768223,0.00011352499769631214,0.00010844911292289325
Solar,Summer,1,2024-05-08,0.0001276917224561263,0.00012026778510402593,0.00011381103002847409,0.002831029642461618,0.03645439710828578,0.1336016358453702,0.2940983526984808,0.3933623942074811,0.49211057370934846,0.5732033742222794,0.6175178659432018,0.6057254475024941,0.5984988938494676,0.562504079065035,0.5098302941160702,0.39911376257142694,0.25884253024369835,0.12395331907783201,0.03239627370723881,0.002872846226638508,0.00025146577858772877,0.00019637860389741708,0.00017313611404897245,0.00015272176520267895
