RES,Season,Cluster,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Offshore Wind,Winter,0,2024-12-09,0.37330208883008886,0.3291762165942166,0.26192953883953884,0.2207724498204498,0.2079840718200718,0.2405817731997732,0.26566047590247593,0.24018482290682291,0.1999263522963523,0.20049384501984502,0.2145639897939898,0.19445057796257795,0.19649258023058022,0.2108265617085617,0.1939603696843697,0.16140690266490265,0.21720999092799095,0.1708976514836515,0.18397148176148176,0.1645396855036855,0.17230129654129656,0.2258685065205065,0.26484091135891136,0.27131545000945
Offshore Wind,Winter,1,2023-12-16,0.6585935927319817,0.6733607964064586,0.6879221192990975,0.6854503848488528,0.7040363279511149,0.7280237598640282,0.7155459665735907,0.7216495969406338,0.7256763603253612,0.7297628950669742,0.7332313589089879,0.7395069276840274,0.7380037626967747,0.7357554145926916,0.743079454089272,0.75042737363927,0.7577111735664279,0.759963594350694,0.7609211039617985,0.7615232706082312,0.7622587204079155,0.7073886204524301,0.6652322487960827,0.6193938136862126
Offshore Wind,Summer,0,2022-06-22,0.21337393623915776,0.19633701687282082,0.17918782661266086,0.1526158289662073,0.16159607270607793,0.14243509817303415,0.16009742847720976,0.1702095614476256,0.13304208260699912,0.10100219755345352,0.10496090336775776,0.12767133489713695,0.1571076652829476,0.13849031177582066,0.1318531274095272,0.11990505134236672,0.11813287976834241,0.1227933061010568,0.13588198025073428,0.16352889570909968,0.19547073895325898,0.17015263686943113,0.11776656281486464,0.11191861078548007
Offshore Wind,Summer,1,2024-05-21,0.5895880132300132,0.5825779648459648,0.594364123984124,0.6545767544887545,0.6330859259119259,0.5499554919674919,0.5434656786996787,0.5112195418635419,0.5037374371574372,0.49556305424305425,0.5117910058590058,0.5556049189189189,0.5655961009261009,0.5643857459837459,0.6057662623322623,0.6114291804951805,0.6054125314685315,0.6202800325080325,0.6589277388017388,0.6888754976374977,0.6822286671706672,0.7048203110943111,0.7196342271782271,0.7223273982233982
Onshore Wind,Winter,0,2021-01-13,0.3818509396346538,0.34455170036336263,0.388024366420014,0.34473503916833137,0.3417480201364682,0.32553216700004595,0.3796999250463212,0.43106529457096837,0.4902761010736688,0.5082645152581982,0.516943362606588,0.5035335215558258,0.5213754695065211,0.48660309362793275,0.4774726098892328,0.41678094772961144,0.43042503678858635,0.4452997371105165,0.447001402558211,0.44812477987071553,0.43779788807555525,0.3969691079028244,0.38950130191683185,0.40491548481462997
Onshore Wind,Winter,1,2022-12-24,0.07342502884240172,0.08459508300673556,0.07831542623131606,0.07455793971938039,0.07709533389321525,0.0790326901053596,0.075134484272408,0.09109170208343938,0.0989377903327056,0.09064635101202899,0.07739508512750039,0.07421202219168321,0.07780544251878997,0.0853460632242412,0.0955300317266419,0.11337232486724014,0.12941056989192584,0.14218052013878285,0.1365832035425256,0.1328888445649039,0.13335003096316655,0.1228220640131657,0.12762509310157616,0.13982999927893996
Onshore Wind,Summer,0,2021-06-01,0.2932222685773327,0.2881064272195825,0.2852777850495436,0.2994868302176727,0.33403412144868905,0.3732910941156054,0.39255936843763106,0.41186522711784085,0.4085231070798419,0.41103639037642725,0.41734613580605223,0.4092367796795954,0.39704545995700247,0.39077394517340547,0.39280435287544846,0.38987828596823265,0.3735193286003961,0.3495520831594349,0.3290050669737278,0.30637504330688886,0.2806801076906344,0.26994818947981203,0.2666520625053375,0.25934642471891417
Onshore Wind,Summer,1,2023-08-20,0.12405480235285296,0.09552826006357036,0.07883807576786407,0.05895849409912144,0.05251256660098564,0.04809957529504393,0.04302033938904141,0.048252743189932064,0.0590229234447967,0.06155194272835963,0.07309370211915069,0.08018826864515162,0.0905034351319939,0.10180873217551417,0.10360678028235903,0.09547098050814626,0.0928992370307729,0.07758887602114568,0.07840520976967204,0.08500019329386918,0.08542480368591414,0.08218381143016636,0.08626600652366809,0.08397151956475553
Solar,Winter,0,2022-03-30,5.071936216675127e-05,5.4416205825252406e-05,5.156874765628355e-05,6.334790637209602e-05,0.00016982097883763708,0.02055304951826678,0.10810906608209989,0.2742352385003487,0.3664985243105035,0.45118646713160737,0.508508664483755,0.5080073540111354,0.5007848316077542,0.4689306029280063,0.3717765911281163,0.252202718463345,0.11929396010267647,0.0169471216741218,0.00021088201543105565,0.00012493975354904065,0.00011957395216678543,0.0001314086453777841,0.0001255301729189151,0.00011357155009760614
Solar,Winter,1,2023-01-24,3.668705834350357e-05,1.700904815834142e-05,2.3110936054635703e-05,3.076578404750465e-05,3.220879165407494e-05,4.9048950252841924e-05,6.692969668208253e-05,0.002689147973148474,0.033127059399047476,0.08516063101854422,0.11350874264251487,0.11826102424540494,0.10403075498525541,0.07030944705583544,0.030338672807917768,0.004531100920504502,0.0001172232964471353,0.00010008465010893283,7.233416258846438e-05,0.0001360093289396107,0.00014872706132812747,5.426519777575809e-05,3.6883198376105025e-05,0.0001915489616283301
Solar,Summer,0,2022-08-15,5.177718465264292e-05,5.3841213296079504e-05,4.506745759326356e-05,0.0003004209594479199,0.021491518949005157,0.09281776070634905,0.22207275194220108,0.37271103504439596,0.5135988115412831,0.6164117566600947,0.6429291021324205,0.6233293161970708,0.6183364640236867,0.5671558555435982,0.47584866620416805,0.3523395002154856,0.20275532747818764,0.06991811409707208,0.01003268899372826,0.00015120741819476063,0.00012023130244839158,0.00010084677504936121,7.998165458923785e-05,5.360025745064559e-05
Solar,Summer,1,2022-07-22,5.122593235890334e-05,5.167898808600174e-05,5.0069130069045444e-05,0.0030033228112377624,0.024754016963482534,0.052532795766690774,0.08578481869966922,0.12843603585077257,0.16793443949144315,0.23219763246634167,0.2762012257091318,0.28012926805198246,0.2850293103906442,0.24807042692078463,0.20065644590522017,0.13383285767753256,0.08048470528545239,0.0385149154460651,0.013304422831967045,0.0010309887144426767,0.00010136453097277054,9.215671267155174e-05,7.23435070214268e-05,5.77753922461667e-05
