,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,3794.6,3836.9,3857.8,3734.6,3727.8,3696.3,4089.7,4630.6,4811.9,4743.0,4792.5,4752.4,4721.3,4837.7,4890.9,4991.8,5248.0,5432.9,5253.3,4854.3,4618.3,4332.2,3988.1,3849.8
1,3856.6,3889.9,3909.8,3784.6,3776.8,3742.3,4134.7,4673.6,4865.9,4795.0,4836.4,4795.3,4771.2,4838.8,4891.7,4992.6,5289.1,5434.8,5306.3,4908.3,4675.3,4392.2,4042.1,3908.8
2,3881.6,3915.0,3916.2999999999997,3789.7,3781.4,3747.2999999999997,4139.1,4676.799999999999,4870.1,4799.400000000001,4841.9,4802.8,4775.7,4888.7,4941.5,5034.4,5293.1,5488.7,5310.2,4912.0,4680.3,4404.8,4044.5,3915.2999999999997
3,3896.1,3930.0,3931.6,3792.1,3785.0,3751.1,4141.7,4681.2,4873.400000000001,4802.900000000001,4845.4,4806.2,4779.1,4889.3,4947.0,5034.8,5296.5,5495.6,5313.2,4914.9,4696.6,4407.4,4047.2,3929.2999999999997
4,3985.8,4023.9,3987.4,3805.4,3797.4,3763.2,4155.3,4696.299999999999,4889.3,4818.700000000001,4861.4,4822.0,4794.4,4904.0,4963.6,5043.3,5312.7,5514.6,5329.9,4930.6,4934.7,4421.7,4060.8,4037.1
5,4121.7,4126.2,4070.4,4025.4,4017.1,3876.6,4214.8,4704.299999999999,4896.0,4828.6,4876.7,4834.8,4804.8,4907.3,4982.5,5060.6,5452.5,5666.5,5553.5,5198.5,4992.3,4624.2,4244.6,4091.7
6,4355.6,4415.7,4258.1,4054.2,4139.200000000001,4094.1,4312.2,4724.299999999999,4908.0,4845.6,4893.7,4851.8,4865.3,4922.4,4999.5,5074.6,5492.3,5697.9,5584.4,5236.2,5094.8,4691.7,4308.9,4212.4
7,4618.7,4777.8,4462.700000000001,4156.5,4360.700000000001,4209.5,4688.5,4853.799999999999,5077.400000000001,4944.5,5107.1,5133.0,5235.0,4935.6,5290.0,5110.8,5840.0,5844.7,5767.4,5425.5,5345.9,4886.2,4428.2,4348.4
8,4883.9,4951.0,4765.700000000001,4324.8,4576.1,4758.8,5190.7,5475.9,5628.5,5349.0,5629.2,5649.5,5680.9,4981.8,5754.7,5425.6,6226.0,6172.1,6143.8,5708.7,5712.7,5115.2,4606.2,4643.499999999999
9,5207.6,5310.9,4953.200000000001,4588.4,4970.0,5047.200000000001,5581.3,5885.9,5978.1,5918.900000000001,5925.8,5943.1,6225.1,5279.8,6286.6,5846.7,6555.7,6378.7,6340.4,5921.6,6038.9,5461.8,4902.6,5047.7
10,5647.9,5752.8,5352.900000000001,5037.4,5200.8,5396.900000000001,5778.1,6129.2,6259.400000000001,6215.700000000001,6147.6,6131.4,6424.5,5723.5,6533.9,6177.6,6786.1,6721.0,6629.3,6240.3,6542.0,5738.7,5209.5,5408.9
11,5946.9,6038.7,5829.200000000001,5361.5,5578.0,5800.400000000001,6203.8,6351.299999999999,6440.900000000001,6398.900000000001,6334.6,6349.5,6660.1,6316.5,6772.499999999999,6459.3,7075.4,7078.5,6935.7,6597.4,6806.4,6200.400000000001,5524.0,5636.4
12,6175.4,6187.7,6122.8,5887.000000000001,5913.400000000001,5950.700000000001,6411.8,6706.400000000001,6925.1,6854.300000000001,6803.6,6809.1,7106.5,6710.9,7135.7,6750.4,7391.4,7573.9,7521.2,7073.2,6966.4,6389.1,5965.9,5946.4
13,6394.6,6406.3,6400.0,6190.000000000001,6107.900000000001,6108.0,6637.000000000001,6904.5,7159.900000000001,7084.000000000001,7017.9,7005.1,7316.5,7195.9,7356.0,7093.500000000001,7563.4,7752.1,7693.0,7254.2,7185.3,6650.1,6341.700000000001,6118.9
14,6601.6,6637.3,6649.0,6467.000000000001,6324.8,6228.0,6807.000000000001,7103.3,7319.8,7324.100000000001,7232.7,7257.200000000001,7568.9,7544.299999999999,7565.099999999999,7387.3,7734.3,7923.5,7907.5,7492.7,7377.3,6908.3,6596.900000000001,6428.9
15,6649.9,6682.3,6689.0,6756.000000000001,6655.8,6412.0,6857.000000000001,7283.3,7499.8,7505.4000000000015,7432.1,7446.500000000001,7748.9,7790.299999999999,7745.099999999999,7662.900000000001,7964.3,8153.5,8147.5,7765.2,7467.3,7187.3,6917.900000000001,6554.9
16,6852.9,6888.4,6899.900000000001,6966.6,6866.3,6622.400000000001,7017.200000000001,7443.5,7659.8,7665.500000000001,7592.1,7606.6,7908.9,7950.4,7905.3,7823.200000000001,8124.9,8314.2,8308.5,7926.6,7629.4,7440.2,7171.400000000001,6799.099999999999
17,7122.9,7158.4,7169.900000000001,7236.6,7136.3,6892.400000000001,7287.200000000001,7713.5,7980.1,7989.000000000001,7913.1,7926.6,8228.9,8270.399999999998,8226.3,8096.400000000001,8398.7,8587.4,8579.2,8247.3,7899.4,7710.2,7441.400000000001,7069.099999999999
18,7425.4,7460.9,7472.400000000001,7539.200000000001,7438.900000000001,7195.0,7589.8,8016.1,8250.7,8263.500000000002,8184.4,8196.6,8498.900000000001,8540.399999999998,8497.599999999999,8402.900000000001,8706.3,8894.0,8882.6,8518.2,8202.0,8012.7,7743.900000000001,7371.599999999999
19,7622.9,7658.4,7669.900000000001,7736.800000000001,7636.5,7392.6,7787.400000000001,8213.7,8431.0,8446.000000000002,8365.2,8376.7,8679.0,8720.499999999998,8678.4,8602.7,8906.5,9093.8,9080.7,8698.8,8399.599999999999,8210.2,7941.400000000001,7569.099999999999
