,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2345.1,2250.8,2189.7,2230.6,2238.3,2349.6,2450.8,2701.3,3207.7,3049.6,3110.8,2988.5,3021.3,2971.9,2870.2,2918.7,2773.4,3033.1,2883.3,2840.6,2796.4,2854.9,2827.8,2702.0
1,2389.1,2295.8,2243.7,2274.6,2282.3,2393.6,2491.8,2740.3,3243.7,3085.6,3146.8,3025.5,3058.3,3009.9,2913.2,2961.7,2809.4,3074.1,2924.3,2880.6,2835.4,2893.9,2866.8,2741.0
2,2428.2,2297.1,2244.5,2284.6,2313.6,2429.9,2596.8,2745.3,3248.9,3093.1,3152.0,3028.8,3083.5,3038.1,2918.3,2975.0,2814.7,3079.4,2954.6,2905.9,2860.7,2899.0,2873.9,2747.1
3,2450.1,2309.1,2261.9,2304.4,2339.0,2455.6,2609.7,2759.6,3254.2,3108.5,3157.3,3034.1,3088.7,3043.3,2923.6,2990.6,2830.1,3095.1,2997.2,2914.9,2869.7,2903.0,2890.5,2759.6
4,2643.1,2321.0,2273.7,2453.7,2496.2,2689.5,3016.5,3162.8,3269.2,3332.4,3173.4,3050.3,3104.8,3059.6,2939.6,3043.5,2864.5,3189.9,3013.4,2952.5,2907.7,2921.2,2927.0,2804.6
5,2710.7,2487.5,2426.6,2474.9,2531.5,2719.6,3056.2,3208.6,3497.2,3405.5,3338.0,3285.3,3386.7,3375.8,3221.0,3089.9,2931.5,3262.8,3058.4,2973.4,2944.2,2957.7,2946.9,2867.9
6,2804.0,2532.7,2454.4,2584.3,2592.6,2780.8,3102.3,3261.8,3569.4,3522.1,3394.5,3379.8,3443.0,3420.5,3258.8,3271.6,3034.3,3403.5,3146.8,3021.9,2998.4,2983.0,3092.2,3161.9
7,3017.1,2727.2,2577.8,2763.1,2717.0,2915.7,3370.7,3475.7,3655.1,3695.0,3515.9,3648.8,3659.2,3514.9,3430.2,3372.7,3133.0,3835.1,3245.6,3132.3,3243.1,3205.2,3994.9,3818.2
8,3135.1,2943.3,2743.9,2996.9,2942.1,3133.1,3753.8,3791.1,3775.3,4081.4,3695.4,3823.0,3742.2,3780.4,3553.7,3716.7,3467.0,4214.1,3648.1,3367.3,3980.1,3937.0,4232.1,4113.4
9,3388.0,3277.2,3072.7,3684.9,3218.4,3503.1,4833.8,4236.2,4104.2,4508.1,4127.6,4208.6,4004.8,4061.0,3833.0,5346.2,3827.5,4439.8,4149.2,4261.8,4175.3,4142.7,4723.3,4423.9
10,4574.1,4359.9,4295.9,4310.200000000001,4396.3,4549.0,5399.7,5319.5,4618.8,5734.0,4571.8,5661.6,5664.8,5650.5,5514.2,5758.0,5210.3,5508.0,4769.7,4572.2,4761.6,4725.4,5193.5,4867.8
11,5170.8,4968.1,4892.6,4809.400000000001,4937.8,5024.1,5529.2,5837.1,5815.599999999999,6088.7,5768.9,6078.4,6109.2,6154.299999999999,5889.7,5979.4,5706.1,5878.3,5682.3,4993.4,5466.8,5338.0,5362.1,5202.3
12,5344.400000000001,5153.7,5121.8,5019.1,5114.3,5227.6,5717.6,6001.8,6328.8,6283.8,6119.1,6280.3,6330.6,6382.2,6126.9,6131.2,5822.3,6093.3,5956.9,5759.0,5741.3,5646.4,5588.7,5396.3
13,5560.1,5413.9,5429.2,5279.300000000001,5357.3,5470.6,5877.3,6257.7,6490.5,6577.4,6403.7,6475.3,6491.1,6588.9,6336.6,6336.5,6030.0,6365.9,6247.2,6091.2,5941.6,5830.7,5805.5,5660.8
14,5769.1,5648.5,5572.1,5514.1,5609.8,5713.2,5998.2,6509.2,6796.4,6761.2,6702.5,6844.4,6778.6,6866.999999999999,6612.7,6471.4,6297.1,6517.6,6504.2,6351.7,6066.1,5954.3,5971.6,5909.1
15,6033.2,5880.8,5813.6,5752.700000000001,5839.4,5915.7,6180.4,6611.3,7001.5,6883.2,6899.4,7071.1,7117.3,7158.9,6901.6,6736.0,6516.6,6668.7,6605.0,6469.4,6166.6,6054.7,6072.0,6009.5
16,6263.3,6110.9,6043.7,5982.800000000001,6069.5,6145.8,6410.5,6841.4,7103.599999999999,7163.3,7179.4,7351.1,7347.4,7388.999999999999,7131.7,6966.1,6748.7,6900.8,6888.4,6570.0,6450.1,6337.2,6353.4,6240.9
17,6298.2,6145.9,6078.7,6017.800000000001,6103.2,6179.5,6448.0,6878.9,7408.7,7188.3,7222.0,7372.4,7381.1,7422.7,7165.4,6999.8,6783.4,6939.3,6915.1,6877.7,6476.8,6363.4,6375.3,6275.3
18,6494.3,6356.0,6288.8,6227.900000000001,6297.3,6387.1,6663.1,7094.0,7598.8,7378.4,7383.3,7555.0,7588.7,7630.299999999999,7373.0,7207.4,6993.0,7156.4,7108.5,7069.5,6670.3,6555.9,6559.2,6484.3
19,6633.400000000001,6481.0,6413.8,6352.900000000001,6434.6,6510.9,6790.6,7221.5,7713.8,7493.4,7494.6,7666.3,7712.5,7754.099999999999,7496.8,7331.2,7117.8,7284.9,7225.2,7185.4,6787.0,6672.1,6671.2,6608.7
