,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2737.2,2698.4,2676.0,2553.7,2308.0,2335.8,2262.3,2353.8,2306.3,2130.9,2147.0,2122.3,2114.9,2088.4,2050.7,2056.6,2160.4,2309.3,2406.8,2737.2,2779.7,3187.9,3122.4,2890.3
1,2763.2,2724.4,2701.0,2578.7,2333.0,2360.8,2278.3,2369.8,2322.3,2147.9,2165.0,2140.3,2142.9,2117.4,2080.7,2088.6,2192.4,2341.3,2438.8,2759.2,2801.7,3208.9,3141.4,2908.3
2,2771.2,2732.4,2712.0,2581.7,2339.0,2370.8,2284.5,2376.9,2325.5,2148.0,2167.1,2155.5,2143.9,2119.4,2080.9,2090.5,2192.5,2350.2,2447.9,2792.2,2833.7,3214.9,3148.5,2932.3
3,2777.9,2739.1,2721.1,2587.9,2341.6,2376.6,2287.5,2379.7,2333.3,2148.1,2187.2,2160.5,2144.1,2119.6,2089.7,2090.7,2192.6,2352.7,2450.4,2803.4,2844.7,3222.5,3151.6,2939.0
4,2780.7,2741.7,2738.0,2590.8,2358.6,2379.4,2297.4,2396.6,2336.0,2156.7,2192.2,2169.6,2153.2,2128.5,2092.5,2090.8,2192.8,2357.7,2610.4,2922.2,2950.1,3225.7,3258.5,2941.9
5,2796.1,2758.6,2752.0,2607.7,2522.6,2381.3,2451.9,2465.0,2349.8,2159.3,2201.0,2172.2,2155.8,2130.9,2107.5,2099.4,2201.5,2597.7,2651.0,2976.2,2995.0,3313.0,3273.4,2953.8
6,2803.6,2762.6,2764.4,2691.7,2530.1,2529.3,2465.9,2497.0,2484.6,2399.3,2203.4,2430.5,2212.8,2145.9,2347.5,2102.1,2204.1,2612.7,2661.6,2979.1,2997.9,3338.3,3474.6,3021.9
7,2833.5,2770.1,2794.3,2699.2,2560.0,2536.8,2482.7,2523.8,2499.3,2414.3,2466.2,2467.8,2379.2,2369.9,2377.3,2117.1,2427.1,2622.3,2699.8,3182.3,3201.1,3542.4,3493.4,3036.8
8,2871.7,2800.0,2845.0,2719.1,2598.1,2537.9,2520.8,2560.9,2526.1,2444.1,2496.0,2474.8,2409.0,2399.7,2394.1,2325.1,2450.7,2659.3,2831.8,3347.8,3242.9,3590.1,3641.4,3054.7
9,2925.7,2838.2,2861.8,2740.1,2722.1,2675.9,2534.0,2580.5,2581.1,2460.9,2532.0,2491.6,2446.0,2436.7,2432.4,2353.9,2487.7,2665.3,2910.8,3508.4,3350.2,3855.0,3731.6,3068.7
10,2969.6,2995.4,2924.0,2837.1,2765.3,2718.7,2697.3,2712.8,2659.6,2497.9,2548.8,2528.6,2453.0,2443.7,2437.1,2391.6,2493.7,2674.3,2992.3,3592.4,3455.6,3990.5,3806.4,3253.0
11,3047.6,3033.7,2970.3,2872.7,2827.3,2778.7,2730.8,2766.5,2693.0,2503.9,2585.8,2534.6,2462.0,2452.7,2446.1,2397.9,2502.7,2724.3,3045.6,3667.3,3493.7,4076.2,3839.4,3331.7
12,3256.2,3075.2,3014.5,2924.8,2981.7,2833.8,2744.7,2827.7,2753.4,2512.9,2601.8,2543.6,2482.0,2472.7,2466.1,2406.9,2547.7,2754.3,3331.1,3922.6,3668.5,4210.2,3969.4,3402.7
13,3381.2,3279.4,3230.2,3122.6,3007.7,3038.9,2972.7,2981.3,2821.4,2532.9,2656.8,2563.6,2532.0,2532.7,2576.1,2583.9,2567.7,2934.3,3343.1,4017.6,3801.6,4359.2,4078.4,3532.3
14,3466.4,3389.4,3344.2,3230.6,3117.7,3203.2,3022.7,3006.3,2948.6,2590.0,2706.8,2643.6,2539.1,2534.7,2581.1,2613.9,2652.7,2941.3,3443.3,4152.6,3982.2,4444.8,4203.9,3692.3
15,3561.9,3474.6,3425.9,3318.3,3203.5,3288.7,3189.9,3111.3,3006.8,2626.5,2726.8,2673.6,2544.1,2539.7,2679.1,2615.9,2682.7,2984.8,3571.9,4319.8,4216.3,4619.8,4321.1,3780.0
16,3642.0,3580.1,3561.7,3519.3,3409.5,3550.0,3348.4,3258.0,3095.1,2636.5,2766.8,2680.7000000000003,2653.3,2646.1,2709.3,2738.8,2689.7,3059.3,3784.4,4430.4,4451.7,4677.5,4438.6,3845.0
17,3722.4,3793.1,3726.4,3618.8,3535.2,3679.1,3681.9,3593.5,3246.0,2760.0,2773.8,2685.7000000000003,2698.1,2689.0,2752.3,2780.5,2798.5,3144.8,3890.4,4663.8,4549.2,4901.0,4635.1,3930.5
18,4011.7,4031.5000000000005,3986.6,3854.0,3757.4,3911.5000000000005,3953.2999999999997,3969.4,3570.0,2874.9,2855.2,2781.7000000000003,2789.7,2772.1,2832.2,2857.7,2827.5,3286.8,4029.8,4846.7,4824.7,5079.9,4810.0,4138.9
19,4106.8,4125.900000000001,4079.4,3957.9,3841.2,3967.7000000000003,4104.4,4111.7,3791.8,3070.4,3012.1,2872.4,2849.2,2826.8,2888.7,2919.6,3001.0,3397.7,4317.0,5006.1,5093.0,5207.8,4953.3,4335.8
