,Dominance Score,Normalized Sum,Rank Score
reserve_policy,329.0,8.056926313510775,91.0
storage 2 co-located + flat_tariff,329.0,5.848255581850504,168.0
storage 2 co-located + dynamic_tariff,325.0,5.7810724380382625,150.0
baseline + flat_tariff,248.0,5.516880398564989,206.0
both co-located + flat_tariff,215.0,5.2633864266465595,140.0
storage 1 co-located + flat_tariff,204.0,5.2633864266465595,159.0
both co-located + dynamic_tariff,204.0,5.2633864266465595,140.0
both co-located + hourly_tariff,204.0,5.334967959209152,171.0
storage 1 co-located + dynamic_tariff,194.0,5.128726100297377,169.0
baseline,193.0,5.213628306118007,135.0
baseline + dynamic_tariff,193.0,5.173271534274911,149.0
storage 1 co-located + hourly_tariff,190.0,4.9481362489131415,137.0
storage 2 co-located + hourly_tariff,176.0,5.038943923870303,140.0
baseline + hourly_tariff,161.0,4.473396532236777,266.0
