,Policy,peak_price_Δ(%),w_avg_price_Δ(%),avg_price_Δ(%),price_std_Δ(%),curtailment_Δ(%),unmet_demand_Δ(%),total_discharge_Δ(%),revenue_per_mwh_Δ(%),revenue_per_mw_Δ(%),soc_std_Δ(%),soc_utilization_Δ(%)
0,baseline - Winter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,baseline - Summer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,baseline - LowLoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reserve_policy - Winter,0.0,0.0,0.0,0.0,3.236920620536654e-14,0.0,0.0,22.914491515463762,22.914491515463748,-6.362872576948434,-14.719811603065363
4,reserve_policy - Summer,0.0,0.0,0.0,0.0,-0.9919714336869232,0.0,0.0,19.330405140223146,19.330405140223146,2.353665078408448e-14,4.568868980963044
5,reserve_policy - LowLoad,-54.41053242960086,-43.245438406576305,-34.66194116216405,-45.42387212932897,-2.750965301590584,-31.57457993012785,18.753462035574326,-24.422559745606975,-10.249173180040506,22.35193858897195,24.63578775861544
6,baseline + flat_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,16.912520174713915,83.8834242736142,-37.5,45.23628462704059,-9.227322108099639,-34.28408963172506,-10.733943276649487
7,baseline + flat_tariff - Summer,1.6453008743735849,-15.474464770306694,-11.329904217700975,-1.2686694525519797,4.959857168434635,23.517716561745047,-11.764705882352942,15.028248263255124,1.495513173460394,-12.739291808416922,-14.680851063829788
8,baseline + flat_tariff - LowLoad,-7.338773813515951,27.462893763933135,31.40992457507656,16.41637911730667,3.09382026492464,36.82492031890301,-21.871858523275144,40.53802892189855,9.799750064701394,-23.606510747293708,-33.41211734851085
9,baseline + hourly_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,11.275012933962493,55.92228284907619,-25.0,28.705713270329674,-3.470715047252753,-1.6229040478612013,-28.187330045928263
10,baseline + hourly_tariff - Summer,1.6453008743735849,8.876452161405236,10.121001665036346,9.373775687153259,4.959857168434616,23.517716561745047,-11.764705882352942,15.028248263255124,1.495513173460394,-3.9392992280035686,28.723404255319142
11,baseline + hourly_tariff - LowLoad,0.0,26.47429757010569,28.23158644634335,14.556874346776988,3.09382026492464,36.82492031890301,-21.871858523275144,42.205489476856904,11.102506006147848,-21.308679649917593,-7.725841608137552
12,baseline + dynamic_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,11.275012933962476,55.92228284907619,-25.0,28.7057132703297,-3.4707150472527326,-25.41460503455379,-12.007702416112638
13,baseline + dynamic_tariff - Summer,0.0,0.0,0.0,0.0,2.9759143010607696,11.758858280872523,-5.882352941176471,6.034479591852937,-0.20284273707959619,-10.011341337489682,-0.8622620380738818
14,baseline + dynamic_tariff - LowLoad,-19.555555313316066,15.080033556942839,19.098893534381673,2.3929233672435513,2.406530361466878,31.56767158751102,-18.749358882301042,31.22101039664079,6.617912228393047,-12.092567385323044,-43.08083507628287
15,storage 1 co-located + flat_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,5.637506466981279,27.961141424538095,-12.5,14.665043758443488,0.331913288638042,-14.522690411473572,-2.869540327092492
16,storage 1 co-located + flat_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738275,11.758858280872523,-5.882352941176471,5.94854421335299,-0.28372309331483486,-7.695527867820328,-6.382978723404251
17,storage 1 co-located + flat_tariff - LowLoad,0.0,20.789091191567586,20.668500062913296,12.200484137660208,2.750739590620601,26.310422856118958,-15.626859241326956,29.609515601795668,9.355619035337368,-21.020002130232097,-33.72869510276112
18,storage 1 co-located + hourly_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,5.63750646698123,27.961141424538095,-12.50000000000001,14.665043758443476,0.33191328863802166,-3.2512734141646678,-18.319259943532973
19,storage 1 co-located + hourly_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738464,11.758858280872523,-5.882352941176471,5.94854421335301,-0.28372309331483486,-11.46299985425701,21.030235162374012
20,storage 1 co-located + hourly_tariff - LowLoad,-19.555555313316066,15.080033556942839,19.098893534381673,2.3929233672435513,3.0944973978344574,31.571125758819434,-18.75141045893769,31.41065576733775,6.769304317622568,-19.488759273640078,-9.206365097143811
21,storage 1 co-located + dynamic_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,5.63750646698123,27.961141424538095,-12.5,14.665043758443476,0.33191328863802166,-18.46321041996512,-6.88403440065577
22,storage 1 co-located + dynamic_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738464,11.758858280872523,-5.882352941176471,5.94854421335299,-0.28372309331483486,-2.0208870282403613,-3.908174692049274
23,storage 1 co-located + dynamic_tariff - LowLoad,0.0,5.685206378538108,7.563086383430056,2.884496348675396,0.687741325397646,10.524859976709243,-6.251154011858109,8.603070668170757,1.814125459096307,-8.473182948036081,-4.361382564949751
24,storage 2 co-located + flat_tariff - Winter,0.0,0.0,0.0,0.0,3.7583376446541914,16.776684854722816,-7.500000000000004,6.741019986850674,-1.2645565121631441,-14.160084866762496,-8.52990541120754
25,storage 2 co-located + flat_tariff - Summer,0.0,0.0,0.0,0.0,2.9759143010607882,11.758858280872523,-5.882352941176471,6.034479591852937,-0.20284273707959619,-3.956006164124418,-8.09630459126541
26,storage 2 co-located + flat_tariff - LowLoad,-19.555555313316066,-4.206426040702473,-1.986549378459468,-11.5031953564778,1.3743540959456075,10.511043291475698,-6.242947705311535,5.91379662501353,-0.6983463109960745,-3.0905074071310628,-4.984836887372534
27,storage 2 co-located + hourly_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,4.697922055817703,27.961141424538095,-12.5,14.55592713217939,0.23643624065695937,-0.7494250228031932,-22.820359359346345
28,storage 2 co-located + hourly_tariff - Summer,0.0,0.0,0.0,0.0,2.9759143010607696,11.758858280872523,-5.882352941176471,6.034479591852937,-0.20284273707959619,-9.160430862897421,7.704367301231789
29,storage 2 co-located + hourly_tariff - LowLoad,-7.338773813515951,27.462893763933135,31.40992457507656,16.41637911730667,3.09359455395469,36.821466147594656,-21.86980694663851,40.53488989182351,9.800180779810717,-26.869930760772988,-20.688955097572563
30,storage 2 co-located + dynamic_tariff - Winter,0.0,0.0,0.0,0.0,3.758337644654175,16.776684854722816,-7.500000000000004,6.741019986850498,-1.2645565121632865,-13.883050052293182,-10.354675444645414
31,storage 2 co-located + dynamic_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738464,11.758858280872523,-5.882352941176471,5.94854421335301,-0.28372309331483486,-4.774293775431421,6.371780515117575
32,storage 2 co-located + dynamic_tariff - LowLoad,-19.555555313316066,-4.206426040702473,-1.986549378459468,-11.5031953564778,1.0310477106716187,10.51795163409247,-6.247050858584823,5.832540337611755,-0.7788722822111523,-1.9529395481784657,-0.09026715463453294
33,both co-located + flat_tariff - Winter,0.0,0.0,0.0,0.0,1.8791688223270875,11.184456569815277,-5.000000000000007,4.708984211625066,-0.5264649989561966,-3.987618312917509,2.4616505549121985
34,both co-located + flat_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738275,11.758858280872523,-5.882352941176471,5.94854421335299,-0.28372309331483486,-7.695527867820328,-6.382978723404251
35,both co-located + flat_tariff - LowLoad,0.0,0.0,0.0,0.0,-1.6422634503168794e-14,0.0,0.0,-1.7332340606047877e-14,-1.625029164590583e-14,2.660520743869051,2.736157908391029
36,both co-located + hourly_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,4.697922055817735,27.961141424538095,-12.5,14.55592713217939,0.23643624065695937,-10.406036877994282,-10.89852847421906
37,both co-located + hourly_tariff - Summer,0.0,0.0,0.0,0.0,2.9759143010607882,11.758858280872523,-5.882352941176471,6.034479591852937,-0.20284273707959619,-7.92730936544763,-14.188129899216142
38,both co-located + hourly_tariff - LowLoad,-19.555555313316066,15.080033556942839,19.098893534381673,2.3929233672435513,2.4065303614668943,31.56767158751102,-18.749358882301042,31.22101039664079,6.617912228393047,-24.00098439971053,-43.08199195973562
39,both co-located + dynamic_tariff - Winter,0.0,6.177114123853322,7.800549766136297,2.179707687380308,8.456259700471877,39.14559799435337,-17.499999999999996,20.036352286438134,-0.9700093636885406,-16.133480288691104,14.032839355182846
40,both co-located + dynamic_tariff - Summer,0.0,0.0,0.0,0.0,1.9839428673738275,11.758858280872523,-5.882352941176471,5.94854421335299,-0.28372309331483486,-7.695527867820328,-6.382978723404251
41,both co-located + dynamic_tariff - LowLoad,0.0,0.0,0.0,0.0,-1.6422634503168794e-14,0.0,0.0,-1.7332340606047877e-14,-1.625029164590583e-14,2.660520743869051,2.736157908391029
